id,question,answer,category
faq-001,How do I request a return?,"Tap ""Request after-sales support"" on the order detail page, choose ""Return and refund"", give a reason and submit. Once support approves it, send the item to the address shown on the page and enter the tracking number; the refund starts after the merchant inspects it.",Returns
faq-002,What day does the 7-day no-questions-asked window start from?,"It starts at midnight on the day after the logistics system records delivery, and runs for seven full days. If the last day is a public holiday, it moves to the first working day after the holiday ends.",Returns
faq-003,Which items are excluded from the 7-day no-questions-asked return?,"Made-to-order items, perishable and live goods, digital goods that have been unsealed, newspapers and periodicals already delivered, and items that affect personal safety or quality once unsealed (underwear, cosmetics, food taken orally). Those items can still be returned or exchanged if they turn out to be defective.",Returns
faq-004,Who pays for return shipping?,"For a 7-day no-questions-asked return you pay both ways. Where the return is caused by a defect, a wrong or incomplete shipment, or the item not matching its description, the merchant pays, and you can claim it back by submitting the shipping receipt on the after-sales ticket.",Returns
faq-005,How long does a refund take to arrive?,"The platform issues the refund within one working day of the merchant approving it. Balance payments are instant, WeChat Pay and Alipay take one to three working days, and cards take three to fifteen working days depending on the issuing bank.",Refunds
faq-006,Can I get a refund before the order ships?,"Yes. Request ""Refund only"" on the order detail page while the order is unshipped, and the system approves it automatically if the merchant does not respond in time. If the item ships while the request is open, it is rejected and you need to switch to return and refund.",Refunds
faq-007,What should I do if my refund fails?,"The usual causes are a closed payment account, a card that has been reported lost or frozen, or a channel limit. The system retries once automatically; if it fails again it goes to a human agent who will contact you for alternative payment details.",Refunds
faq-008,Why is my refund less than the listed price?,"On orders that used a coupon, the discount is apportioned across items in proportion to what you paid, and the refund is based on what you actually paid for that item. The amount shown on the order detail page is the one that counts.",Refunds
faq-009,How soon will my order ship?,"Items in stock ship within forty-eight hours of payment, later during holidays and major sales, and the dispatch time on the product detail page is what applies. Pre-order items ship on the date promised there.",Shipping
faq-010,What if my order never ships?,You can submit a shipping reminder on the order detail page or cancel the order for a full refund.,Shipping
faq-011,Do you ship overseas or to Hong Kong / Macau / Taiwan?,"We currently ship within mainland China only; there is no direct shipping to Hong Kong, Macau, Taiwan or overseas. Some remote areas cannot be reached because of carrier limits, and you will be told at checkout.",Shipping
faq-012,How many days does delivery usually take?,"One to two days for the same city and neighbouring provinces, two to four days for ordinary destinations in other provinces, four to seven days for remote areas and islands. Extreme weather and traffic restrictions will extend this.",Shipping
faq-013,What if tracking stops updating?,"If tracking has not updated for more than five days, or says delivered when you have not received anything, contact support to open a trace. The automatic order-completion deadline is extended while it is open, and a confirmed lost parcel is replaced or refunded.",Shipping
faq-014,What if the item arrives damaged?,"We recommend inspecting before you accept the parcel. If you find damage after accepting it, send photos of the outer packaging and an unboxing video within forty-eight hours of delivery so responsibility can be established.",Shipping
faq-015,Can I change the delivery address?,"While the order is unshipped you can change it yourself once, and only within the same delivery region. It cannot be changed after shipping; you can ask the carrier to redirect it in transit and you pay the redirection fee.",Shipping
faq-016,Can I claim the difference if the price drops?,"If the price is cut outright within the price-protection window you can claim once, and the difference goes back to the account you paid from. Differences caused by coupons, flash sales, group buys or trade-ins are not covered. The length of the window is on the product detail page.",Platform rules
faq-017,Can I delete a review?,"A published review cannot be deleted by you; contact support to have it changed. Reviews containing abuse, personal attacks, unrelated advertising or contact details are hidden.",Platform rules
faq-018,What if the merchant and I cannot agree?,"Either side can ask the platform to step in. The decision is based on the order record, the chat history, delivery evidence and evidence about the item, and you can submit new evidence for a review within the appeal window.",Platform rules
faq-019,How do I complain about a merchant?,"File a complaint from the order detail page. The platform investigates once it is accepted, which usually takes three to seven working days.",Platform rules
faq-020,How many accounts can one person register?,"One main account per customer. Lending an account, registering in bulk and using scripts to snap up stock all breach the rules, and the platform may cancel the orders involved.",Platform rules
faq-021,Why did my cross-border order fail customs clearance?,"Customs requires the person who placed the order and the person who paid to match on their verified identity. A mismatch fails clearance and the shipment is returned; you need to reorder with matching details.",Platform rules
faq-022,Does refusing delivery count as a return?,"Yes. Once the refused parcel makes it back to the merchant and is signed for, the refund starts, but the shipping cost of the refused delivery is settled under the return shipping rules.",Returns
faq-023,What payment methods do you take? Is cash on delivery available?,"WeChat Pay, Alipay, debit cards and credit cards, all paid online and chosen at checkout. Cash on delivery is not supported — every order ships only after online payment succeeds.",Payments
